Step,Activity,Dampening,CurrentCalcium,TargetCalcium,SynapticInput,BackgroundInput,GrownAxons,ConnectedAxons,GrownDendrites,ConnectedDendrites
264,-61.8626,-11.8529,0.4743,0.7,0.0,4.0,0.4481,0.0,2.0102,0.0
265,-62.3995,-11.8299,0.4747,0.7,0.0,3.9769,0.4556,0.0,2.0194,0.0
266,-61.9943,-11.8319,0.475,0.7,0.0,4.05,0.462,0.0,2.0287,0.0
267,-62.5228,-11.8112,0.4754,0.7,0.0,3.9796,0.4685,0.0,2.037,0.0
268,-62.4053,-11.8337,0.4758,0.7,0.0,4.0148,0.4759,0.0,2.0463,0.0
269,-62.5719,-11.7901,0.4761,0.7,0.0,3.9639,0.4824,0.0,2.0556,0.0
270,-62.3365,-11.871,0.4765,0.7,0.0,3.9944,0.4889,0.0,2.0648,0.0
271,-62.4289,-11.8596,0.4768,0.7,0.0,3.9935,0.4963,0.0,2.0741,0.0
272,-62.1258,-11.8274,0.4771,0.7,0.0,3.9963,0.5028,0.0,2.0833,0.0
273,-62.2888,-11.8748,0.4775,0.7,0.0,4.0046,0.5102,0.0,2.0926,0.0
274,-62.4456,-11.8142,0.4779,0.7,0.0,4.0111,0.5167,0.0,2.1009,0.0
275,-62.4761,-11.8786,0.4782,0.7,0.0,3.9861,0.5241,0.0,2.1102,0.0
276,-61.9531,-11.8419,0.4785,0.7,0.0,4.0269,0.5315,0.0,2.1194,0.0
277,-61.8182,-11.7569,0.4788,0.7,0.0,4.0037,0.538,0.0,2.1287,0.0
